fund_code,report_date,year,quarter,AS_new,num_holdings
11892,2023-06-30,2023,2,0.9830261136712609,129
11892,2023-12-31,2023,4,0.9805757079619052,134
11892,2024-06-30,2024,2,0.9746666666666534,81
11892,2024-12-31,2024,4,0.9706666666666529,77
11892,2025-06-30,2025,2,0.9789037165414843,86
11892,2025-12-31,2025,4,0.962289015397167,136
1194,2020-06-30,2020,2,0.9561299672744139,73
1194,2020-12-31,2020,4,0.9094497724886113,150
1194,2021-06-30,2021,2,0.9027761351636617,181
1194,2021-12-31,2021,4,0.8642460732984181,244
1194,2022-06-30,2022,2,0.8489335937499883,241
1194,2022-12-31,2022,4,0.9396666666666534,108
1194,2023-06-30,2023,2,0.9583333333333193,52
1194,2023-12-31,2023,4,0.956333333333319,53
1194,2024-06-30,2024,2,0.959999999999986,52
1194,2024-12-31,2024,4,0.9583333333333199,57
1194,2025-06-30,2025,2,0.9603333333333194,84
1194,2025-12-31,2025,4,0.9623333333333192,85
1198,2020-06-30,2020,2,0.9783178009401051,53
1198,2020-12-31,2020,4,0.9827076107899678,50
1198,2021-06-30,2021,2,0.9799999999999855,35
1198,2021-12-31,2021,4,0.9813333333333193,39
1198,2022-06-30,2022,2,0.9756666666666531,54
1198,2022-12-31,2022,4,0.97733333333332,50
1198,2023-06-30,2023,2,0.976333333333319,52
1198,2023-12-31,2023,4,0.9749999999999858,49
1198,2024-06-30,2024,2,0.9679999999999861,52
1198,2024-12-31,2024,4,0.9695560734698269,48
1198,2025-06-30,2025,2,0.9743333333333183,59
1198,2025-12-31,2025,4,0.9739018093398978,66
12301,2021-06-30,2021,2,0.9883333333333192,10
12301,2021-12-31,2021,4,0.985666666666654,42
12301,2022-06-30,2022,2,0.9752572418915461,102
12301,2022-12-31,2022,4,0.9628941111418184,145
12301,2023-06-30,2023,2,0.9559096703849574,146
12301,2023-12-31,2023,4,0.9533499489325532,164
12301,2024-06-30,2024,2,0.955706655822137,109
12301,2024-12-31,2024,4,0.9561711562370362,113
12301,2025-06-30,2025,2,0.9457364963042384,115
12301,2025-12-31,2025,4,0.9566063457594267,110
12456,2021-06-30,2021,2,0.986666666666653,10
12456,2021-12-31,2021,4,0.960019714628023,95
12456,2022-06-30,2022,2,0.9564389914204395,105
12456,2022-12-31,2022,4,0.9584769855389673,152
12456,2023-06-30,2023,2,0.9598730212959665,174
12456,2023-12-31,2023,4,0.9534306134760008,168
12456,2024-06-30,2024,2,0.964419549697954,101
12456,2024-12-31,2024,4,0.9474285714285576,126
