fund_code,report_date,rc_mom,lead2,fut4q
17811,2024-04-01,,0.1821126058794218,0.22523958874140668
17811,2024-07-01,0.0573951590262628,0.0788198103266599,0.32844622153902026
17811,2024-10-01,-0.2848484848484848,0.0631959367063881,0.5993156866438649
17811,2025-01-01,-0.0072239422084623,0.0043178686265505,0.5317021215954728
17811,2025-04-01,-0.5471149893120582,0.4529820709842664,0.5486331927336865
17811,2025-07-01,-0.2616504261974187,0.0112062452782679,2.0087801347590477
17811,2025-10-01,0.1151515151515151,0.0801270078446017,
17811,2026-01-01,-0.2912087912087912,1.4644648106519118,
17811,2026-04-01,-0.4666666666666666,,
17811,2026-07-01,0.103030303030303,,
17876,2023-04-01,,-0.1447429151666197,-0.15095584514785737
17876,2023-07-01,,-0.033351322180249,-0.26426883281371305
17876,2023-10-01,,-0.052813756141134,-0.016355185939776293
17876,2024-01-01,-0.1810850439882697,-0.0333608393257104,-0.11411153565870939
17876,2024-04-01,,0.1031707317073171,-0.041195998347091894
17876,2024-07-01,0.2433121598700995,-0.1311076718991821,-0.028164418188255602
17876,2024-10-01,,0.0201017811704835,0.27579406716362437
17876,2025-01-01,-0.1444675932508659,-0.0203292591668741,0.47864696660284056
17876,2025-04-01,,0.4071292170591971,0.4950976081910934
17876,2025-07-01,0.3235965578275334,0.0717452275400341,0.9560164919202285
17876,2025-10-01,,0.0365524227587363,
17876,2026-01-01,0.0628821890851801,0.4405896245622611,
17876,2026-04-01,,,
17876,2026-07-01,,,
17927,2023-04-01,,-0.1254980079681275,-0.2379858852881159
17927,2023-07-01,,-0.0270094370322157,-0.18476469253361358
17927,2023-10-01,,-0.0327759197324414,0.05616445419380239
17927,2024-01-01,0.1321739130434782,0.000518672199171,0.17349147449480218
17927,2024-04-01,,0.1154311387592885,0.23852087532983102
17927,2024-07-01,0.0307692307692307,0.0903175832687841,0.2831501728484847
17927,2024-10-01,0.2969696969696969,0.0322534811025874,0.5285777197206984
17927,2025-01-01,0.0529903385436818,0.0451479697178247,0.4270339678658302
17927,2025-04-01,,0.3608586856315023,0.449591096531276
17927,2025-07-01,0.5069169960474309,-0.0112261685860842,1.4561272689680393
17927,2025-10-01,,0.0548106097680332,
17927,2026-01-01,0.1555061179087875,1.051684142154588,
17927,2026-04-01,0.0909090909090908,,
17927,2026-07-01,0.0181818181818181,,
18291,2023-07-01,,-0.0409683426443198,-0.2301181795356757
18291,2023-10-01,,-0.030097087378641,-0.0553370557342745
18291,2024-01-01,0.2454545454545454,-0.0738738738738735,-0.0444252550996751
18291,2024-04-01,,0.0896022481625598,-0.051145512781373095
18291,2024-07-01,-0.2696013554615574,-0.0300565420097204,0.028462062515307498
18291,2024-10-01,,-0.036817345060339,0.36485221300139414
18291,2025-01-01,0.39010989010989,0.0057337014228071,0.6370794813011861
18291,2025-04-01,,0.4259923986486464,0.7600811153113409
18291,2025-07-01,-0.187018815039237,0.2421707262900716,1.5907170363643905
18291,2025-10-01,,0.0861842889498158,
18291,2026-01-01,-0.3791208791208791,0.8363696224758568,
18291,2026-04-01,,,
18291,2026-07-01,,,
18325,2023-07-01,,0.0184670924743135,-0.39334796836730807
18325,2023-10-01,,-0.0774369461486027,0.006443699709673983
18325,2024-01-01,,-0.0710802423525936,0.06300460275607649
18325,2024-04-01,,0.1364937957365568,0.1892696739046794
18325,2024-07-01,-0.3383458646616541,0.075027995520716,0.3533356394105952
18325,2024-10-01,,0.0488281250000002,0.8836978182310582
18325,2025-01-01,,0.0929857231533222,0.7947004871055724
18325,2025-04-01,,0.6668559745570197,0.8257617885050196
18325,2025-07-01,-0.2857142857142856,-0.0139693356047698,1.4891436578257808
18325,2025-10-01,,0.0798894263994474,
18325,2026-01-01,-0.0934065934065934,0.7563675924740836,
18325,2026-04-01,,,
18325,2026-07-01,,,
18326,2023-07-01,,0.0173828396606861,-0.39691175844069515
