fund_code,year,quarter,anchor_high,cgo
501079,2026,2,1.0,1.3945863362547277
501082,2019,3,0.9453102535603335,0.41496484141539536
501082,2019,4,0.9331186437884595,0.28595306797954734
501082,2020,1,0.8340373338594841,0.1919017867977673
501082,2020,2,0.8746287404558413,0.4210040163665885
501082,2020,3,0.9710381270824631,0.4579265214605333
501082,2020,4,0.9470564873878633,0.39349342376666474
501082,2021,1,0.8005605263022324,0.15455398284449928
501082,2021,2,0.9117221000491681,0.34717980788577407
501082,2021,3,0.8663509612459772,0.31405551054433767
501082,2021,4,0.8486445957647832,0.19844949676671955
501082,2022,1,0.7955325626773069,0.05199733487538988
501082,2022,2,0.9110029858308932,0.23795740843960056
501082,2022,3,0.9171048756322056,0.35552483344942165
501082,2022,4,0.6965787326117547,0.050445950325080244
501082,2023,1,0.8959038940674857,0.4790028399203731
501082,2023,2,0.8730884460612114,0.6079182684203067
501082,2023,3,0.8034670775302322,0.21530799705653297
501082,2023,4,0.726704815781832,0.11974172382526095
501082,2024,1,0.8106420809684571,0.21880266585963012
501082,2024,2,0.8596326364385499,0.29806725290984937
501082,2024,3,0.9038520727777939,0.3422419419306653
501082,2024,4,0.9263694125893942,0.5556073833374414
501082,2025,1,0.9403150354535473,0.43328676464924615
501082,2025,2,0.9404201106052748,0.38677065770514146
501082,2025,3,1.0,1.1016679481688263
501082,2025,4,0.9782030610391167,0.793248558808924
501082,2026,1,0.9141123966946962,0.6311707405053063
501082,2026,2,1.0,1.3546029383018923
519005,2018,2,0.8978394754031784,0.19667744509961355
519005,2018,4,0.6592225194561868,-0.10970422736530784
519005,2019,2,0.8603651770367529,0.29351721240843115
519005,2019,4,0.9272847863139083,0.6184523223660928
519005,2020,1,0.8146562360983087,0.5089914152462818
519005,2020,2,0.9487330846909315,0.4559697325863346
519005,2020,3,0.8731453912363352,0.3590533255318777
519005,2020,4,0.9612458731053385,0.6215970484862853
519005,2021,1,0.862454884830178,0.267936409786061
519005,2021,2,0.9771032960250822,0.9150657108933073
519005,2021,3,0.9262079239854298,0.9862051294975209
