fund_code,认知能力,配置选择能力,风险应对能力,风险转化能力,交易执行能力,综合能力,ff5_alpha,quarter_return
7731,-0.41852255199629207,0.3726310622528187,-0.2529793468086098,0.3332591856802632,-0.26296390068404146,-0.04571511031117228,0.0179791639420916,0.05396440191978914
7895,-0.3610934881335377,-0.7494882053850984,-0.31550509355854206,-0.7513990846417293,-1.1765097457274063,-0.6707991234892627,0.0027070779812084006,0.024965514646658638
8185,0.018029192703641228,-0.3239095376232085,0.5226773201665258,-0.6183444090756846,0.38378277265382044,-0.003552932234981121,-0.0074382039301495,0.06079149017537404
8208,-0.6457779064658574,-0.41447253326886396,-0.5962884828399488,0.24895956409797296,-0.27092453968119595,-0.3357007796315786,0.0191571416184537,0.04902915443913171
8467,-0.6863079026283927,-0.41122958466394594,-0.6149811436393271,0.015963856962358206,-0.29177479274445767,-0.39766591334275303,0.0161639076453774,0.04453525221101422
8528,-0.0628563073716311,-1.192091905800033,0.14908555937027596,-0.601698738044966,0.5778032072999777,-0.22595163690927528,-0.0106957681568864,0.07772022121940894
8555,-0.08060941630126818,-0.7268275911056714,-0.08571104261952339,-0.6501736757921871,0.07427984602503135,-0.2938083759587238,0.0033973546185805,0.07220655403193345
8734,-0.11531828876441219,0.21313159869855516,0.10418573336647127,-0.0005997102660446988,0.5334574321155972,0.14697135303003334,0.0151252455904933,0.07104335246696723
8988,0.2774303924790677,-0.4203617869656135,-0.16225000110415877,0.284683595985733,1.0337995048078263,0.20266034104057096,0.0428614500549803,0.10677678270759358
8989,0.2774270640649949,-0.39880632415176315,-0.17445611002827266,0.2507014144179722,1.0337995048078263,0.19773310982215153,0.0418353149511181,0.10569385310855826
9049,-0.11402683863217332,-0.22486736805405214,0.20779106955820792,0.49757102991006114,1.1811744588639936,0.3095284703292075,0.0329709264115956,0.07898902088565508
9062,-0.10382832611042588,-0.6845633655148171,1.2450226671489775,-0.2128275860570974,1.2912200880359443,0.30700469550051623,0.0256743948552309,0.08870393589611938
9063,-0.09257688471478931,-0.6809645247088248,1.2413781907969552,-0.17483133383941343,1.357762270752486,0.3301535436572827,0.023616281665645503,0.08653692710038507
9242,-0.327042175322437,-0.260874624559104,0.3909232710510371,0.6146565138397864,1.7495240062522275,0.433437398252302,0.0278539936319685,0.07386952960091701
9243,-0.38717743236442564,-0.2598909749204897,0.38919435520231793,0.5595770427164998,1.7097801924282734,0.40229663661243514,0.0267336053243368,0.0727540118742057
9707,-0.07106158047658133,-0.3624144530147033,-0.35819029525218127,0.5731125953272732,0.7055458120175753,0.0973984157202765,0.0380681713736838,0.1045564990684587
9708,-0.07107293725922563,-0.36370246522128896,-0.355537236535165,0.5354673234198439,0.6805359483079747,0.0851381265424278,0.0370220395263921,0.10344901947076784
9808,-0.4297940373953691,0.25865732482044634,-0.0675481891949421,-0.626882939398961,0.6432505609543424,-0.0444634560428967,0.0197974039453076,0.068603767381107
9855,0.5383404108972184,-0.5857534284465763,0.653259052651588,-0.11560469601369965,0.623317577242133,0.22271178326613267,0.048877750818615805,0.08324804760491479
9856,0.5376042865270483,-0.5857534284465763,0.6526670690127745,-0.15518434397634875,0.623317577242133,0.21453023207180616,0.04778415235509,0.08215295758196563
9913,-0.290375565369896,0.4844192841217099,0.3789860466217542,-0.20439413492941905,0.2820059851644179,0.13012832312171338,0.0349548722132678,0.076412946664713
9993,-0.4203512434811179,0.2838764086689542,-0.07652598354798357,-0.27818073823003703,0.7735191001757022,0.056467508717103584,0.0080292007379845,0.06986786139646144
10115,-0.04623551658519195,-0.06866729537317466,0.36537901191204814,-0.10935745575699007,0.8488647253892262,0.19799669391718352,0.0135594787440172,0.09208032754907833
10237,0.046156011749427295,1.5930009230195217,0.3353949086436618,-1.276789664384779,0.3713659349444849,0.21382562279446335,-0.0017386282076819,0.06478430660502847
