date,nav,daily_return,fund_code
2021-04-07,2.914,-0.48,161810
2021-04-08,2.899,-0.51,161810
2021-04-09,2.867,-1.1,161810
2021-04-12,2.803,-2.23,161810
2021-04-13,2.833,1.07,161810
2021-04-14,2.8,-1.16,161810
2021-04-15,2.785,-0.54,161810
2021-04-16,2.796,0.39,161810
2021-04-19,2.853,2.04,161810
2021-04-20,2.861,0.28,161810
2021-04-21,2.869,0.28,161810
2021-04-22,2.868,-0.03,161810
2021-04-23,2.894,0.91,161810
2021-04-26,2.871,-0.79,161810
2021-04-27,2.876,0.17,161810
2021-04-28,2.885,0.31,161810
2021-04-29,2.905,0.69,161810
2021-04-30,2.932,0.93,161810
2021-05-06,2.908,-0.82,161810
2021-05-07,2.873,-1.2,161810
2021-05-10,2.828,-1.57,161810
2021-05-11,2.819,-0.32,161810
2021-05-12,2.903,2.98,161810
2021-05-13,2.855,-1.65,161810
2021-05-14,2.913,2.03,161810
2021-05-17,2.927,0.48,161810
2021-05-18,2.936,0.31,161810
2021-05-19,2.907,-0.99,161810
2021-05-20,2.921,0.48,161810
2021-05-21,2.904,-0.58,161810
2021-05-24,2.863,-1.41,161810
2021-05-25,2.901,1.33,161810
2021-05-26,2.915,0.48,161810
2021-05-27,2.927,0.41,161810
2021-05-28,2.918,-0.31,161810
2021-05-31,2.953,1.2,161810
2021-06-01,2.989,1.22,161810
2021-06-02,2.979,-0.33,161810
2021-06-03,2.953,-0.87,161810
2021-06-04,2.971,0.61,161810
2021-06-07,2.973,0.07,161810
2021-06-08,2.962,-0.37,161810
2021-06-09,2.955,-0.24,161810
2021-06-10,2.933,-0.74,161810
2021-06-11,2.918,-0.51,161810
2021-06-15,2.89,-0.96,161810
2021-06-16,2.873,-0.59,161810
2021-06-17,2.881,0.28,161810
2021-06-18,2.887,0.21,161810
2021-06-21,2.865,-0.76,161810
2021-06-22,2.897,1.12,161810
2021-06-23,2.906,0.31,161810
2021-06-24,2.861,-1.55,161810
2021-06-25,2.855,-0.21,161810
2021-06-28,2.925,2.45,161810
2021-06-29,2.876,-1.68,161810
2021-06-30,2.889,0.45,161810
2021-07-01,2.847,-1.45,161810
2021-07-02,2.822,-0.88,161810
2021-07-05,2.877,1.95,161810
2021-07-06,2.879,0.07,161810
2021-07-07,2.887,0.28,161810
2021-07-08,2.924,1.28,161810
2021-07-09,2.925,0.03,161810
2021-07-12,2.92,-0.17,161810
2021-07-13,2.89,-1.03,161810
2021-07-14,2.848,-1.45,161810
2021-07-15,2.849,0.04,161810
2021-07-16,2.83,-0.67,161810
2021-07-19,2.907,2.72,161810
2021-07-20,2.877,-1.03,161810
2021-07-21,2.898,0.73,161810
2021-07-22,2.906,0.28,161810
2021-07-23,2.92,0.48,161810
2021-07-26,2.902,-0.62,161810
2021-07-27,2.876,-0.9,161810
2021-07-28,2.82,-1.95,161810
2021-07-29,2.924,3.69,161810
2021-07-30,3.003,2.7,161810
2021-08-02,3.044,1.37,161810
2021-08-03,2.998,-1.51,161810
2021-08-04,3.009,0.37,161810
2021-08-05,3.027,0.6,161810
2021-08-06,2.988,-1.29,161810
2021-08-09,3.011,0.77,161810
2021-08-10,3.008,-0.1,161810
2021-08-11,2.999,-0.3,161810
2021-08-12,2.978,-0.7,161810
2021-08-13,2.997,0.64,161810
2021-08-16,2.942,-1.84,161810
2021-08-17,2.853,-3.03,161810
