fund_code,year,quarter,industry_hhi,hhi_normalized,ICI,ICI_normalized,industry_count,industry_max_pct,total_weight_pct
390,2016,4,0.029282,0.056298,0.113869,0.218924,18,30.25,72.12
390,2017,1,0.036026,0.111079,0.09804,0.302284,5,29.92,56.95
390,2017,2,0.04775,0.064939,0.156941,0.213436,24,37.66,85.75
390,2017,3,0.041883,0.110772,0.113863,0.301144,6,32.07,61.49
390,2017,4,0.038015,0.056702,0.09926,0.148054,21,26.94,81.88
390,2018,1,3e-06,0.084653,1.1e-05,0.297958,4,0.273,0.5954
390,2018,2,0.012779,0.071213,0.03403,0.189636,16,11.9007,42.3614
390,2018,3,2e-06,0.112425,5e-06,0.311987,4,0.1698,0.3976
390,2018,4,0.018778,0.039019,0.074564,0.154942,12,16.98,69.3713
390,2019,2,0.018095,0.033606,0.061844,0.114853,18,13.83,73.38
390,2019,4,0.026746,0.047662,0.073349,0.130712,20,19.95,74.91
390,2020,1,2e-06,0.095726,6e-06,0.313939,6,0.2302,0.419
390,2020,2,0.012543,0.0358,0.053639,0.153095,22,21.5687,59.1914
390,2020,3,1e-06,0.127438,5e-06,0.407525,4,0.215,0.343
390,2020,4,0.023456,0.038538,0.115274,0.189392,22,31.86,78.0162
390,2021,2,0.02359,0.031844,0.16442,0.221947,23,40.31,86.07
390,2021,4,0.023989,0.032106,0.141454,0.189315,25,35.28,86.44
390,2022,2,0.021376,0.026296,0.138272,0.1701,20,34.51,90.16
390,2022,4,0.016944,0.023518,0.129993,0.180431,21,32.63,84.88
390,2023,2,0.006964,0.017508,0.049229,0.123758,19,20.0,63.07
390,2023,4,0.007727,0.018614,0.052922,0.127485,20,22.66,64.43
390,2024,2,0.010896,0.02415,0.083444,0.184946,20,28.97,67.17
390,2024,4,0.01106,0.022008,0.0401,0.079794,22,16.95,70.89
390,2025,2,0.018934,0.022419,0.112387,0.133071,16,25.85,91.9
390,2025,4,0.036442,0.047144,0.245376,0.317436,11,36.59,87.92
404,2014,1,0.036241,0.105936,0.066193,0.193486,6,21.27,58.49
404,2014,2,0.035464,0.057156,0.115262,0.185765,10,23.61,78.77
404,2014,3,0.024659,0.115778,0.069765,0.327564,4,19.93,46.15
404,2014,4,0.068097,0.073278,0.152303,0.163891,9,27.28,96.4
