fund_code,n_reports,n_stocks,year_min,year_max,median_stocks_per_report,max_stocks_per_report,has_full_report,n_full_reports,in_panel,is_distressed,is_ifind_sample
213003,30,1408,2018,2026,37,118,True,13,True,False,False
213008,30,1437,2018,2026,22,183,True,13,True,False,False
240005,30,1412,2018,2026,52,133,True,16,True,False,False
240011,30,1036,2018,2026,23,128,True,7,True,False,False
240017,30,1376,2018,2026,46,148,True,15,True,False,False
240022,30,1251,2018,2026,42,129,True,14,True,False,False
257020,30,1572,2018,2026,24,246,True,11,True,False,False
257030,30,1118,2018,2026,30,117,True,9,True,False,False
257070,30,614,2018,2026,24,43,False,0,True,False,False
260112,30,1321,2018,2026,17,136,True,11,True,False,False
260117,30,1149,2018,2026,27,172,True,6,True,False,False
270028,30,1314,2018,2026,33,131,True,13,True,False,False
290008,30,594,2018,2026,17,40,False,0,True,False,False
290014,30,565,2018,2026,16,34,False,0,True,False,False
310358,30,1009,2018,2026,23,128,True,7,True,False,False
320005,30,1628,2018,2026,31,161,True,14,True,False,False
320007,30,2708,2018,2026,27,605,True,11,True,False,False
340007,30,1237,2018,2026,26,95,True,11,True,False,False
360016,30,1393,2018,2026,36,182,True,14,True,False,False
370024,30,1330,2018,2026,48,149,True,13,True,False,False
370027,30,1328,2018,2026,41,136,True,13,True,False,False
375010,30,2020,2018,2026,53,163,True,16,True,False,False
377010,30,1317,2018,2026,33,123,True,14,True,False,False
377240,30,1171,2018,2026,31,101,True,11,True,False,False
378010,30,1083,2018,2026,37,102,True,9,True,False,False
379010,30,1403,2018,2026,43,134,True,14,True,False,False
400001,30,1297,2018,2026,33,133,True,12,True,False,False
460007,30,1499,2018,2026,44,129,True,14,True,False,False
470009,30,2014,2018,2026,48,250,True,15,True,False,False
470028,30,1605,2018,2026,33,165,True,13,True,False,False
470098,30,2501,2018,2026,29,415,True,9,True,False,False
481001,30,1943,2018,2026,46,185,True,15,True,False,False
481008,30,1589,2018,2026,36,138,True,12,True,False,False
481010,30,1782,2018,2026,31,207,True,12,True,False,False
481015,30,1445,2018,2026,31,138,True,13,True,False,False
