fc,egarch_omega,egarch_alpha,egarch_gamma,egarch_beta,egarch_persistence,egarch_gamma_t,n_obs,fit_ok
11300,-0.381344833178698,0.37668094091960136,-0.03852213792762437,0.9539127549882431,1.3305936959078446,-0.8935726291401014,1315.0,1
11301,-0.3827121911908229,0.3772791926427111,-0.03843068098682831,0.9537626987815064,1.3310418914242175,-0.8910525590538834,1315.0,1
11369,-0.14085248498590072,0.205941130836868,-0.0002918433904146375,0.9812002734863872,1.187141404323255,-0.00995543915636028,1265.0,1
11370,-0.14043658923420382,0.20541768128248608,-9.91659672325216e-05,0.9812530792654639,1.18667076054795,-0.0033882347958497294,1265.0,1
11399,-0.11162064708252975,0.19946531712206048,0.003172097318161697,0.9853681836723208,1.1848335007943813,0.1794827835358303,1282.0,1
11400,-0.11145205761306334,0.19934325342977186,0.0034857540144289964,0.9853962257908851,1.184739479220657,0.1965406076479273,1282.0,1
11412,-0.07278519093841207,0.19563020743183726,-0.020261441184606665,0.9893649917017595,1.1849951991335967,-1.0725526571147013,1297.0,1
11452,-0.079328949484383,0.199399048384477,0.03613518801842238,0.9886750179448208,1.188074066329298,1.1727461993724824,1329.0,1
11488,-0.21835628324091527,0.22919901855111297,-0.022473201008404376,0.9717688143531041,1.200967832904217,-0.8135395525245861,1268.0,1
11822,-0.40647261191137496,0.3953422427012962,-0.03798232545143736,0.9509630707670937,1.34630531346839,-0.7514012046756169,1038.0,1
11823,-0.4069052481353749,0.39537934261349167,-0.038030959514591754,0.950902487968528,1.3462818305820197,-0.7472596018924663,1038.0,1
11891,-0.06685312624976701,0.20128688616441967,-0.015688694939117464,0.9897755665390564,1.191062452703476,-0.7726362024777341,1140.0,1
11892,-0.0648756328734837,0.19974202094657287,-0.015552101813632974,0.99004604200498,1.189788062951553,-0.7645594479343605,1139.0,1
12301,-0.3556416790446712,0.3597825148069714,-0.030802117663781655,0.9569900430207761,1.3167725578277474,-0.6734542482117151,1138.0,1
12456,-0.08664027660443989,0.17116834467018321,0.006025115340466273,0.9880994130643863,1.1592677577345696,0.3222303734178679,1181.0,1
12457,-0.08664906535435507,0.17142578609788392,0.005903893993525643,0.9880997835051464,1.1595255696030302,0.31440783976305503,1181.0,1
13107,-0.23396288537573107,0.1872052232747581,0.011697158334104825,0.9694560069712238,1.156661230245982,0.5940115520574051,1125.0,1
13108,-0.2350639887843624,0.1877285038010248,0.011640706871576255,0.9693159331657866,1.1570444369668114,0.5893507372595378,1125.0,1
13238,-0.16593017189347456,0.19598263308835454,0.013532730039685728,0.978776148724214,1.1747587818125687,0.623893804660282,1099.0,1
13239,-0.16589443738241136,0.19562896051440282,0.013520492296726383,0.9787777531240812,1.1744067136384841,0.6210361213847884,1099.0,1
13312,-0.14832485027664805,0.2086528377949603,0.008676710196172895,0.9797246722056017,1.188377510000562,0.46880143381082034,1203.0,1
13369,-0.16468090291855164,0.20968398978318137,0.030110595513426597,0.9777329449006437,1.187416934683825,1.429257870657198,1045.0,1
13370,-0.16467594215981507,0.20993117632122374,0.03019091503815282,0.9777302333012138,1.1876614096224376,1.439033587075733,1045.0,1
13840,-0.35594231820084077,0.2625647276660227,0.022434193212613574,0.9504331530126462,1.2129978806786688,0.8342377476702288,1097.0,1
13841,-0.3562452202165565,0.2626665097968109,0.02245031651701037,0.9503914580509913,1.2130579678478022,0.8398087071500581,1097.0,1
13949,-0.19861947190192622,0.25089791296922165,-0.0016244617928847967,0.9749565900922333,1.225854503061455,-0.060002602037251794,1161.0,1
14282,-0.1760535935332655,0.2569987608072714,0.04383597050431268,0.9770871395143197,1.2340859003215912,1.6881134985507444,1142.0,1
14319,-0.32230920479922404,0.20788126751186428,0.011345271079215293,0.9554342757686509,1.1633155432805151,0.4703994013444832,1114.0,1
14320,-0.3226318223273285,0.20765605238774054,0.011434865776710929,0.9553897290883551,1.1630457814760957,0.47493097172356574,1114.0,1
14497,-0.4179738559016416,0.33434804184820127,0.006406645619693925,0.9453794386830829,1.2797274805312842,0.2201920842376218,1123.0,1
14549,-0.28939430232394897,0.2390459047804038,-0.003940044039510119,0.9628539662905318,1.2018998710709357,-0.15972598214642106,1126.0,1
14611,-0.12865946120381141,0.2004619243590301,0.039738756025033094,0.9824085186947066,1.1828704430537367,1.648370485798108,1085.0,1
14612,-0.12831007958793889,0.20038808502235642,0.03990348748522773,0.9824531320015109,1.1828412170238674,1.6665971477152586,1085.0,1
14833,-0.4904413252223412,0.31501604800644745,-0.027644159969507365,0.938748199401351,1.2537642474077986,-0.7387023364434404,1105.0,1
14975,-0.45781372852322455,0.23004060231083773,0.01750710828731475,0.9409479578903641,1.1709885602012018,0.46357456621805004,1041.0,1
14989,-0.2132196960848545,0.21200241552140986,0.0016583926003782012,0.9707378208895716,1.1827402364109814,0.07215573045075643,1091.0,1
15389,-0.16370735000008943,0.20216036717884966,0.006984372195513339,0.9772073430495876,1.1793677102284372,0.21293157693033743,1057.0,1
15491,-0.21652434517575272,0.24955898818981556,0.05164667992093636,0.9714376812717709,1.2209966694615864,1.7733712205763392,1002.0,1
15576,-0.41486851456718843,0.29703654422894005,-0.03359605420745079,0.9425135957424416,1.2395501399713817,-0.5809972240170486,1013.0,1
15585,-0.211854210079126,0.20663790970571838,0.013425023860186569,0.9708903186008314,1.1775282283065498,0.5518011999758643,1030.0,1
15967,-0.3249177689918751,0.1805296213419706,0.04926816127394627,0.9565352458553456,1.1370648671973163,1.859470073635031,925.0,1
16262,-0.35334167324061544,0.21717410268564064,0.04812475425357874,0.9522720998580966,1.169446202543737,1.8115591804596112,984.0,1
16263,-0.2636997294401102,0.32163263570814404,0.02492621385531869,0.9657142250951303,1.2873468608032743,0.6765715639384247,976.0,1
16370,-0.06789970364460247,0.1853245422081085,0.020392970997937444,0.9895161213018441,1.1748406635099526,0.9233762576377715,944.0,1
16371,-0.06764414837926937,0.18516204898415656,0.02025887823318681,0.9895471322545336,1.1747091812386903,0.9176702841538538,944.0,1
16461,-0.6807462399406967,0.38070384142898284,-0.03184081263070741,0.914316674357328,1.2950205157863108,-0.5412532214495763,960.0,1
16500,-0.36563403508126485,0.24736013609026564,0.062223528976615185,0.9509867995994482,1.1983469356897138,2.2533635170831565,934.0,1
